Cluster number,Household number,Line number,Cluster number,Household number,Man's line number,Interviewer number,Supervisor number,Interviewer number,Day of interview
23.0,6.0,3.0,23.0,6.0,3.0,22.0,20.0,22.0,14.0
23.0,6.0,4.0,23.0,6.0,4.0,22.0,20.0,22.0,14.0
23.0,12.0,1.0,23.0,12.0,1.0,22.0,20.0,22.0,17.0
23.0,16.0,1.0,23.0,16.0,1.0,21.0,20.0,21.0,14.0
23.0,20.0,1.0,23.0,20.0,1.0,21.0,20.0,21.0,14.0
23.0,22.0,1.0,23.0,22.0,1.0,21.0,20.0,21.0,14.0
23.0,26.0,2.0,23.0,26.0,2.0,21.0,20.0,21.0,26.0
24.0,14.0,1.0,24.0,14.0,1.0,22.0,20.0,22.0,22.0
24.0,16.0,4.0,24.0,16.0,4.0,22.0,20.0,22.0,23.0
24.0,18.0,2.0,24.0,18.0,2.0,22.0,20.0,22.0,12.0
24.0,26.0,1.0,24.0,26.0,1.0,21.0,20.0,21.0,9.0
25.0,1.0,1.0,25.0,1.0,1.0,21.0,20.0,21.0,21.0
25.0,3.0,1.0,25.0,3.0,1.0,21.0,20.0,21.0,24.0
25.0,3.0,3.0,25.0,3.0,3.0,21.0,20.0,21.0,24.0
25.0,3.0,6.0,25.0,3.0,6.0,21.0,20.0,21.0,24.0
25.0,5.0,1.0,25.0,5.0,1.0,21.0,20.0,21.0,17.0
25.0,11.0,1.0,25.0,11.0,1.0,21.0,20.0,21.0,1.0
25.0,15.0,2.0,25.0,15.0,2.0,22.0,20.0,22.0,15.0
25.0,19.0,5.0,25.0,19.0,5.0,22.0,20.0,22.0,24.0
25.0,19.0,6.0,25.0,19.0,6.0,22.0,20.0,22.0,24.0
25.0,21.0,2.0,25.0,21.0,2.0,22.0,20.0,22.0,15.0
25.0,21.0,3.0,25.0,21.0,3.0,22.0,20.0,22.0,21.0
25.0,21.0,5.0,25.0,21.0,5.0,22.0,20.0,22.0,15.0
25.0,25.0,1.0,25.0,25.0,1.0,22.0,20.0,22.0,17.0
25.0,25.0,6.0,25.0,25.0,6.0,22.0,20.0,22.0,17.0
26.0,1.0,1.0,26.0,1.0,1.0,22.0,20.0,22.0,16.0
26.0,5.0,1.0,26.0,5.0,1.0,22.0,20.0,22.0,16.0
26.0,9.0,1.0,26.0,9.0,1.0,22.0,20.0,22.0,12.0
26.0,11.0,1.0,26.0,11.0,1.0,22.0,20.0,22.0,16.0
26.0,13.0,1.0,26.0,13.0,1.0,22.0,20.0,22.0,17.0
26.0,15.0,1.0,26.0,15.0,1.0,21.0,20.0,21.0,13.0
26.0,15.0,8.0,26.0,15.0,8.0,21.0,20.0,21.0,15.0
26.0,21.0,4.0,26.0,21.0,4.0,21.0,20.0,21.0,12.0
27.0,1.0,3.0,27.0,1.0,3.0,21.0,20.0,21.0,6.0
27.0,1.0,4.0,27.0,1.0,4.0,21.0,20.0,21.0,6.0
27.0,3.0,4.0,27.0,3.0,4.0,21.0,20.0,21.0,6.0
27.0,5.0,2.0,27.0,5.0,2.0,21.0,20.0,21.0,17.0
27.0,9.0,1.0,27.0,9.0,1.0,21.0,20.0,21.0,21.0
27.0,11.0,1.0,27.0,11.0,1.0,21.0,20.0,21.0,11.0
27.0,13.0,2.0,27.0,13.0,2.0,21.0,20.0,21.0,9.0
27.0,15.0,1.0,27.0,15.0,1.0,22.0,20.0,22.0,31.0
27.0,17.0,1.0,27.0,17.0,1.0,22.0,20.0,22.0,12.0
27.0,19.0,2.0,27.0,19.0,2.0,22.0,20.0,22.0,24.0
27.0,23.0,1.0,27.0,23.0,1.0,22.0,20.0,22.0,24.0
28.0,1.0,1.0,28.0,1.0,1.0,21.0,20.0,21.0,17.0
28.0,3.0,1.0,28.0,3.0,1.0,21.0,20.0,21.0,11.0
28.0,5.0,1.0,28.0,5.0,1.0,21.0,20.0,21.0,18.0
28.0,7.0,1.0,28.0,7.0,1.0,21.0,20.0,21.0,11.0
28.0,7.0,4.0,28.0,7.0,4.0,21.0,20.0,21.0,11.0
28.0,11.0,4.0,28.0,11.0,4.0,21.0,20.0,21.0,12.0
28.0,11.0,5.0,28.0,11.0,5.0,21.0,20.0,21.0,11.0
28.0,13.0,2.0,28.0,13.0,2.0,21.0,20.0,21.0,12.0
28.0,13.0,3.0,28.0,13.0,3.0,21.0,20.0,21.0,27.0
28.0,15.0,3.0,28.0,15.0,3.0,22.0,20.0,22.0,16.0
28.0,15.0,4.0,28.0,15.0,4.0,22.0,20.0,22.0,12.0
28.0,19.0,1.0,28.0,19.0,1.0,22.0,20.0,22.0,11.0
28.0,19.0,3.0,28.0,19.0,3.0,22.0,20.0,22.0,12.0
28.0,21.0,1.0,28.0,21.0,1.0,22.0,20.0,22.0,16.0
28.0,23.0,2.0,28.0,23.0,2.0,22.0,20.0,22.0,18.0
29.0,3.0,1.0,29.0,3.0,1.0,22.0,20.0,22.0,14.0
29.0,9.0,2.0,29.0,9.0,2.0,22.0,20.0,22.0,17.0
29.0,13.0,1.0,29.0,13.0,1.0,22.0,20.0,22.0,15.0
29.0,21.0,2.0,29.0,21.0,2.0,21.0,20.0,21.0,15.0
30.0,2.0,1.0,30.0,2.0,1.0,22.0,20.0,22.0,5.0
30.0,4.0,2.0,30.0,4.0,2.0,22.0,20.0,22.0,5.0
30.0,6.0,4.0,30.0,6.0,4.0,22.0,20.0,22.0,5.0
30.0,8.0,1.0,30.0,8.0,1.0,22.0,20.0,22.0,5.0
30.0,8.0,5.0,30.0,8.0,5.0,22.0,20.0,22.0,5.0
30.0,10.0,3.0,30.0,10.0,3.0,22.0,20.0,22.0,6.0
30.0,12.0,2.0,30.0,12.0,2.0,22.0,20.0,22.0,6.0
30.0,12.0,3.0,30.0,12.0,3.0,22.0,20.0,22.0,6.0
30.0,14.0,1.0,30.0,14.0,1.0,21.0,20.0,21.0,10.0
30.0,18.0,1.0,30.0,18.0,1.0,21.0,20.0,21.0,10.0
30.0,18.0,4.0,30.0,18.0,4.0,21.0,20.0,21.0,9.0
30.0,20.0,1.0,30.0,20.0,1.0,21.0,20.0,21.0,23.0
30.0,22.0,2.0,30.0,22.0,2.0,21.0,20.0,21.0,23.0
30.0,24.0,2.0,30.0,24.0,2.0,21.0,20.0,21.0,10.0
30.0,26.0,1.0,30.0,26.0,1.0,21.0,20.0,21.0,5.0
31.0,4.0,2.0,31.0,4.0,2.0,21.0,20.0,21.0,18.0
31.0,8.0,1.0,31.0,8.0,1.0,21.0,20.0,21.0,17.0
31.0,8.0,3.0,31.0,8.0,3.0,21.0,20.0,21.0,18.0
31.0,8.0,4.0,31.0,8.0,4.0,21.0,20.0,21.0,17.0
31.0,10.0,3.0,31.0,10.0,3.0,21.0,20.0,21.0,17.0
31.0,12.0,3.0,31.0,12.0,3.0,21.0,20.0,21.0,16.0
31.0,16.0,3.0,31.0,16.0,3.0,22.0,20.0,22.0,18.0
31.0,16.0,4.0,31.0,16.0,4.0,22.0,20.0,22.0,17.0
31.0,18.0,1.0,31.0,18.0,1.0,22.0,20.0,22.0,16.0
31.0,18.0,3.0,31.0,18.0,3.0,22.0,20.0,22.0,17.0
31.0,20.0,1.0,31.0,20.0,1.0,22.0,20.0,22.0,12.0
31.0,24.0,3.0,31.0,24.0,3.0,22.0,20.0,22.0,18.0
31.0,26.0,1.0,31.0,26.0,1.0,22.0,20.0,22.0,16.0
32.0,4.0,1.0,32.0,4.0,1.0,22.0,20.0,22.0,20.0
32.0,4.0,2.0,32.0,4.0,2.0,22.0,20.0,22.0,20.0
32.0,4.0,3.0,32.0,4.0,3.0,22.0,20.0,22.0,20.0
32.0,12.0,4.0,32.0,12.0,4.0,22.0,20.0,22.0,20.0
32.0,16.0,1.0,32.0,16.0,1.0,21.0,20.0,21.0,23.0
32.0,16.0,2.0,32.0,16.0,2.0,21.0,20.0,21.0,23.0
32.0,18.0,2.0,32.0,18.0,2.0,21.0,20.0,21.0,20.0
32.0,20.0,1.0,32.0,20.0,1.0,21.0,20.0,21.0,20.0
32.0,22.0,1.0,32.0,22.0,1.0,21.0,20.0,21.0,20.0
32.0,24.0,1.0,32.0,24.0,1.0,21.0,20.0,21.0,24.0
32.0,24.0,6.0,32.0,24.0,6.0,21.0,20.0,21.0,21.0
32.0,26.0,2.0,32.0,26.0,2.0,21.0,20.0,21.0,20.0
32.0,26.0,4.0,32.0,26.0,4.0,21.0,20.0,21.0,20.0
33.0,3.0,2.0,33.0,3.0,2.0,21.0,20.0,21.0,23.0
33.0,9.0,1.0,33.0,9.0,1.0,22.0,20.0,22.0,23.0
33.0,13.0,3.0,33.0,13.0,3.0,21.0,20.0,21.0,23.0
33.0,15.0,1.0,33.0,15.0,1.0,21.0,20.0,21.0,23.0
33.0,19.0,1.0,33.0,19.0,1.0,21.0,20.0,21.0,23.0
33.0,25.0,3.0,33.0,25.0,3.0,22.0,20.0,22.0,24.0
34.0,4.0,1.0,34.0,4.0,1.0,22.0,20.0,22.0,3.0
34.0,6.0,1.0,34.0,6.0,1.0,22.0,20.0,22.0,15.0
34.0,10.0,1.0,34.0,10.0,1.0,22.0,20.0,22.0,2.0
34.0,12.0,3.0,34.0,12.0,3.0,22.0,20.0,22.0,3.0
34.0,12.0,5.0,34.0,12.0,5.0,22.0,20.0,22.0,3.0
34.0,16.0,3.0,34.0,16.0,3.0,21.0,20.0,21.0,4.0
34.0,20.0,2.0,34.0,20.0,2.0,21.0,20.0,21.0,2.0
34.0,20.0,3.0,34.0,20.0,3.0,21.0,20.0,21.0,3.0
34.0,24.0,1.0,34.0,24.0,1.0,21.0,20.0,21.0,2.0
35.0,4.0,3.0,35.0,4.0,3.0,21.0,20.0,21.0,4.0
35.0,4.0,4.0,35.0,4.0,4.0,21.0,20.0,21.0,4.0
35.0,6.0,1.0,35.0,6.0,1.0,21.0,20.0,21.0,24.0
